#  pH    <x1>   err1   <x2>   err2
 -1.00   0.00   0.00   0.00   0.00
 -0.75   0.00   0.00   0.00   0.00
 -0.50   0.00   0.00   0.00   0.00
 -0.25   0.00   0.00   0.00   0.00
  0.00  -0.01   0.00  -0.00   0.00
  0.25   0.00   0.00   0.00   0.00
  0.50  -0.01   0.00  -0.01   0.00
  0.75   0.00   0.00   0.00   0.00
  1.00  -0.01   0.00  -0.01   0.00
  1.25   0.00   0.00   0.00   0.00
  1.50  -0.00   0.00  -0.00   0.00
  1.75   0.00   0.00   0.00   0.00
  2.00  -0.01   0.00  -0.00   0.00
  2.25    nan    nan    nan    nan
  2.50  -0.01   0.00  -0.00   0.00
  2.75    nan    nan    nan    nan
  3.00   0.00   0.00   0.00   0.00
  3.25    nan    nan    nan    nan
  3.50   0.00   0.01   0.01   0.00
  3.75    nan    nan    nan    nan
  4.00    nan    nan    nan    nan
  4.25    nan    nan    nan    nan
  4.50   0.20   0.05   0.06   0.02
  4.75    nan    nan    nan    nan
  5.00   0.07   0.01   0.01   0.01
  5.25    nan    nan    nan    nan
  5.50   0.10   0.03   0.01   0.00
  5.75    nan    nan    nan    nan
  6.00   0.11   0.03   0.01   0.00
  6.25    nan    nan    nan    nan
  6.50   0.17   0.04   0.03   0.00
  6.75    nan    nan    nan    nan
  7.00   0.21   0.09   0.02   0.01
  7.25    nan    nan    nan    nan
  7.50   0.07   0.01   0.01   0.01
  8.00   0.05   0.02   0.01   0.00
  8.50   0.84   0.05   0.02   0.01
  9.00   0.37   0.21   0.02   0.01
  9.50   0.70   0.15   0.04   0.00
 10.00   0.95   0.04   0.04   0.01
 10.50   0.75   0.23   0.02   0.00
 11.00   0.08   0.04   0.05   0.02
 11.50   0.64   0.21   0.03   0.00
 12.00   0.97   0.02   0.00   0.00
 12.50   0.50   0.27   0.06   0.01
 13.00   0.77   0.23   0.04   0.03
 13.50   0.82   0.18   0.02   0.00
 14.00   0.99   0.00   0.04   0.01
