#  pH    <x1>   err1   <x2>   err2
 -1.00  -0.01   0.00  -0.01   0.00
 -0.75  -0.01   0.00  -0.01   0.00
 -0.50  -0.01   0.00  -0.01   0.00
 -0.25  -0.01   0.00  -0.01   0.00
  0.00  -0.01   0.00  -0.00   0.00
  0.25   0.00   0.01  -0.00   0.00
  0.50   0.00   0.00  -0.01   0.00
  0.75  -0.00   0.00  -0.00   0.00
  1.00   0.01   0.00   0.00   0.00
  1.25   0.01   0.00   0.07   0.04
  1.50   0.01   0.02   0.03   0.02
  1.75   0.03   0.01   0.05   0.02
  2.00   0.03   0.01   0.03   0.01
  2.25   0.04   0.01   0.08   0.03
  2.50   0.24   0.06   0.05   0.02
  2.75   0.45   0.12   0.11   0.04
  3.00   0.44   0.03   0.08   0.00
  3.25   0.47   0.05   0.07   0.03
  3.50   0.45   0.07   0.23   0.10
  3.75   0.49   0.12   0.39   0.10
  4.00   0.65   0.09   0.36   0.03
  4.25   0.79   0.03   0.20   0.01
  4.50   0.73   0.11   0.35   0.17
  4.75   0.68   0.06   0.63   0.13
  5.00   0.74   0.18   0.50   0.19
  5.25   0.75   0.03   0.61   0.11
  5.50   0.86   0.04   0.78   0.22
  5.75   0.87   0.04   0.66   0.21
  6.00   0.91   0.01   0.77   0.09
  6.25   0.99   0.00   0.49   0.01
  6.50   0.95   0.09   0.53   0.00
  6.75   0.93   0.06   1.00   0.00
  7.00   0.98   0.00   0.96   0.07
  7.25   1.00   0.00   0.88   0.15
  7.50   0.97   0.05   0.90   0.05
  8.00   0.97   0.00   0.97   0.01
  8.50   1.01   0.00   0.99   0.04
  9.00   1.00   0.01   0.94   0.09
  9.50   1.00   0.00   0.78   0.25
 10.00   1.01   0.00   0.48   0.23
 10.50   1.00   0.01   0.70   0.00
 11.00   1.00   0.00   0.98   0.07
 11.50   1.01   0.00   0.93   0.10
 12.00   1.01   0.01   0.96   0.00
 12.50   0.96   0.09   1.01   0.00
 13.00   0.96   0.00   1.00   0.01
 13.50   1.01   0.00   0.96   0.10
 14.00   1.01   0.00   0.94   0.05
